name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan,successful_transfer
Erling Haaland,Centre-Forward,21,150,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester City,60,FALSE,1
Antony,Right Winger,22,35,Netherlands,Eredivisie,Ajax Amsterdam,England,Premier League,Manchester United,95,FALSE,1
Wesley Fofana,Centre-Back,21,40,England,Premier League,Leicester City,England,Premier League,Chelsea FC,80.4,FALSE,1
Aurélien Tchouameni,Defensive Midfield,22,60,Monaco,Ligue 1,AS Monaco,Spain,LaLiga,Real Madrid,80,FALSE,1
Darwin Núñez,Centre-Forward,23,55,Portugal,Liga Portugal,SL Benfica,England,Premier League,Liverpool FC,75,FALSE,1
Casemiro,Defensive Midfield,30,40,Spain,LaLiga,Real Madrid,England,Premier League,Manchester United,70.65,FALSE,1
Alexander Isak,Centre-Forward,22,30,Spain,LaLiga,Real Sociedad,England,Premier League,Newcastle United,70,FALSE,0
Matthijs de Ligt,Centre-Back,22,70,Italy,Serie A,Juventus FC,Germany,Bundesliga,Bayern Munich,67,FALSE,0
Raheem Sterling,Left Winger,27,70,England,Premier League,Manchester City,England,Premier League,Chelsea FC,56.2,FALSE,1
Sadio Mané,Left Winger,30,70,England,Premier League,Liverpool FC,Germany,Bundesliga,Bayern Munich,32,FALSE,0
Romelu Lukaku,Centre-Forward,29,70,England,Premier League,Chelsea FC,Italy,Serie A,Inter Milan,8,TRUE,1
Marc Cucurella,Left-Back,24,28,England,Premier League,Brighton & Hove Albion,England,Premier League,Chelsea FC,65.3,FALSE,1
Federico Chiesa,Right Winger,24,65,Italy,Serie A,ACF Fiorentina,Italy,Serie A,Juventus FC,40,FALSE,0
Jules Koundé,Centre-Back,23,60,Spain,LaLiga,Sevilla FC,Spain,LaLiga,FC Barcelona,50,FALSE,1
Richarlison,Centre-Forward,25,48,England,Premier League,Everton FC,England,Premier League,Tottenham Hotspur,58,FALSE,1
Raphinha,Right Winger,25,45,England,Premier League,Leeds United,Spain,LaLiga,FC Barcelona,58,FALSE,1
Lisandro Martínez,Centre-Back,24,32,Netherlands,Eredivisie,Ajax Amsterdam,England,Premier League,Manchester United,57.37,FALSE,1
Fabián Ruiz,Central Midfield,26,55,Italy,Serie A,SSC Napoli,France,Ligue 1,Paris Saint-Germain,23,FALSE,1
Gabriel Jesus,Centre-Forward,25,50,England,Premier League,Manchester City,England,Premier League,Arsenal FC,52.2,FALSE,1
Cristian Romero,Centre-Back,24,48,Italy,Serie A,Atalanta BC,England,Premier League,Tottenham Hotspur,50,FALSE,1
Kalvin Phillips,Defensive Midfield,26,50,England,Premier League,Leeds United,England,Premier League,Manchester City,49,FALSE,1
Carlos Soler,Central Midfield,25,50,Spain,LaLiga,Valencia CF,France,Ligue 1,Paris Saint-Germain,18,FALSE,1
Paul Pogba,Central Midfield,29,48,England,Premier League,Manchester United,Italy,Serie A,Juventus FC,0,FALSE,0
Robert Lewandowski,Centre-Forward,33,45,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,FC Barcelona,45,FALSE,1
Matheus Nunes,Central Midfield,23,35,Portugal,Liga Portugal,Sporting CP,England,Premier League,Wolverhampton Wanderers,45,FALSE,0
Franck Kessié,Central Midfield,25,45,Italy,Serie A,AC Milan,Spain,LaLiga,FC Barcelona,0,FALSE,1
Lucas Paquetá,Attacking Midfield,25,35,France,Ligue 1,Olympique Lyon,England,Premier League,West Ham United,42.95,FALSE,1
Amine Gouiri,Centre-Forward,22,42,France,Ligue 1,OGC Nice,France,Ligue 1,Stade Rennais FC,28,FALSE,0
Vitinha,Central Midfield,22,30,Portugal,Liga Portugal,FC Porto,France,Ligue 1,Paris Saint-Germain,41.5,FALSE,1
Bremer,Centre-Back,25,35,Italy,Serie A,Torino FC,Italy,Serie A,Juventus FC,41,FALSE,0
Nuno Mendes,Left-Back,20,40,Portugal,Liga Portugal,Sporting CP,France,Ligue 1,Paris Saint-Germain,38,FALSE,1
Gonçalo Guedes,Left Winger,25,40,Spain,LaLiga,Valencia CF,England,Premier League,Wolverhampton Wanderers,32.6,FALSE,0
Diego Carlos,Centre-Back,29,40,Spain,LaLiga,Sevilla FC,England,Premier League,Aston Villa,31,FALSE,0
Antonio Rüdiger,Centre-Back,29,40,England,Premier League,Chelsea FC,Spain,LaLiga,Real Madrid,0,FALSE,1
Kalidou Koulibaly,Centre-Back,31,35,Italy,Serie A,SSC Napoli,England,Premier League,Chelsea FC,38,FALSE,1
Sven Botman,Centre-Back,22,30,France,Ligue 1,LOSC Lille,England,Premier League,Newcastle United,37,FALSE,0
Gianluca Scamacca,Centre-Forward,23,30,Italy,Serie A,US Sassuolo,England,Premier League,West Ham United,36,FALSE,1
Fábio Vieira,Attacking Midfield,22,25,Portugal,Liga Portugal,FC Porto,England,Premier League,Arsenal FC,35,FALSE,1
Nayef Aguerd,Centre-Back,26,12,France,Ligue 1,Stade Rennais FC,England,Premier League,West Ham United,35,FALSE,1
Oleksandr Zinchenko,Left-Back,25,25,England,Premier League,Manchester City,England,Premier League,Arsenal FC,35,FALSE,1
Amadou Onana,Defensive Midfield,20,10,France,Ligue 1,LOSC Lille,England,Premier League,Everton FC,35,FALSE,0
Sébastien Haller,Centre-Forward,28,35,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Borussia Dortmund,31,FALSE,0
Karim Adeyemi,Right Winger,20,35,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,Borussia Dortmund,30,FALSE,0
Yves Bissouma,Central Midfield,25,35,England,Premier League,Brighton & Hove Albion,England,Premier League,Tottenham Hotspur,29.2,FALSE,1
Timo Werner,Centre-Forward,26,35,England,Premier League,Chelsea FC,Germany,Bundesliga,RB Leipzig,20,FALSE,1
Ryan Gravenberch,Central Midfield,20,35,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Bayern Munich,18.5,FALSE,0
Niklas Süle,Centre-Back,26,35,Germany,Bundesliga,Bayern Munich,Germany,Bundesliga,Borussia Dortmund,0,FALSE,0
Andreas Christensen,Centre-Back,26,35,England,Premier League,Chelsea FC,Spain,LaLiga,FC Barcelona,0,FALSE,1
Paulo Dybala,Second Striker,28,35,Italy,Serie A,Juventus FC,Italy,Serie A,AS Roma,0,FALSE,1
Nico Schlotterbeck,Centre-Back,22,33,Germany,Bundesliga,SC Freiburg,Germany,Bundesliga,Borussia Dortmund,20,FALSE,0
Brenden Aaronson,Attacking Midfield,21,25,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Leeds United,32.84,FALSE,0
Charles De Ketelaere,Attacking Midfield,21,30,Belgium,Jupiler Pro League,Club Brugge KV,Italy,Serie A,AC Milan,32,FALSE,1
Steven Bergwijn,Left Winger,24,18,England,Premier League,Tottenham Hotspur,Netherlands,Eredivisie,Ajax Amsterdam,31.25,FALSE,0
Manuel Akanji,Centre-Back,27,30,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester City,17.5,FALSE,1
André Zambo Anguissa,Defensive Midfield,26,30,England,Premier League,Fulham FC,Italy,Serie A,SSC Napoli,15,FALSE,0
Renan Lodi,Left-Back,24,30,Spain,LaLiga,Atlético de Madrid,England,Premier League,Nottingham Forest,5,TRUE,0
Tanguy Ndombélé,Central Midfield,25,30,England,Premier League,Tottenham Hotspur,Italy,Serie A,SSC Napoli,0.5,TRUE,0
Angeliño,Left-Back,25,30,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,TSG 1899 Hoffenheim,0,TRUE,0
Morgan Gibbs-White,Attacking Midfield,22,11,England,Premier League,Wolverhampton Wanderers,England,Premier League,Nottingham Forest,29.5,FALSE,0
Renato Sanches,Central Midfield,24,28,France,Ligue 1,LOSC Lille,France,Ligue 1,Paris Saint-Germain,15,FALSE,1
Leander Dendoncker,Defensive Midfield,27,28,England,Premier League,Wolverhampton Wanderers,England,Premier League,Aston Villa,15,FALSE,0
Giacomo Raspadori,Second Striker,22,28,Italy,Serie A,US Sassuolo,Italy,Serie A,SSC Napoli,5,TRUE,0
Hugo Ekitiké,Centre-Forward,20,28,France,Ligue 1,Stade Reims,France,Ligue 1,Paris Saint-Germain,0,TRUE,1
Mohamed Camara,Defensive Midfield,22,27,Austria,Bundesliga,Red Bull Salzburg,Monaco,Ligue 1,AS Monaco,15,FALSE,1
Xaver Schlager,Central Midfield,24,27,Germany,Bundesliga,VfL Wolfsburg,Germany,Bundesliga,RB Leipzig,12,FALSE,1
Denis Zakaria,Defensive Midfield,25,27,Italy,Serie A,Juventus FC,England,Premier League,Chelsea FC,3,TRUE,1
David Raum,Left-Back,24,20,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,RB Leipzig,26,FALSE,1
Luis Sinisterra,Left Winger,23,25,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,Leeds United,25,FALSE,0
Merih Demiral,Centre-Back,24,25,Italy,Serie A,Juventus FC,Italy,Serie A,Atalanta BC,20,FALSE,1
João Palhinha,Defensive Midfield,26,25,Portugal,Liga Portugal,Sporting CP,England,Premier League,Fulham FC,20,FALSE,1
Sasa Kalajdzic,Centre-Forward,25,25,Germany,Bundesliga,VfB Stuttgart,England,Premier League,Wolverhampton Wanderers,18,FALSE,0
Mattéo Guendouzi,Central Midfield,23,25,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,11,FALSE,0
Pedro Porro,Right-Back,22,25,England,Premier League,Manchester City,Portugal,Liga Portugal,Sporting CP,8.5,FALSE,1
Lucas Ocampos,Left Winger,28,25,Spain,LaLiga,Sevilla FC,Netherlands,Eredivisie,Ajax Amsterdam,4,TRUE,0
Lorenzo Insigne,Left Winger,31,25,Italy,Serie A,SSC Napoli,Canada,MLS,Toronto FC,0,FALSE,0
Boubacar Kamara,Defensive Midfield,22,25,France,Ligue 1,Olympique Marseille,England,Premier League,Aston Villa,0,FALSE,0
Conor Coady,Centre-Back,29,25,England,Premier League,Wolverhampton Wanderers,England,Premier League,Everton FC,0,TRUE,0
Nicolas Pépé,Right Winger,27,25,England,Premier League,Arsenal FC,France,Ligue 1,OGC Nice,0,TRUE,1
Callum Hudson-Odoi,Right Winger,21,25,England,Premier League,Chelsea FC,Germany,Bundesliga,Bayer 04 Leverkusen,0,TRUE,0
Sergio Reguilón,Left-Back,25,25,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Atlético de Madrid,0,TRUE,0
Nathan Collins,Centre-Back,21,10,England,Championship,Burnley FC,England,Premier League,Wolverhampton Wanderers,24.3,FALSE,0
Dwight McNeil,Left Winger,22,18,England,Championship,Burnley FC,England,Premier League,Everton FC,24,FALSE,0
Filip Kostic,Left Midfield,29,24,Germany,Bundesliga,Eintracht Frankfurt,Italy,Serie A,Juventus FC,12,FALSE,0
Joaquín Correa,Second Striker,27,23,Italy,Serie A,SS Lazio,Italy,Serie A,Inter Milan,23.6,FALSE,1
Calvin Bassey,Centre-Back,22,10,Scotland,Premiership,Rangers FC,Netherlands,Eredivisie,Ajax Amsterdam,23,FALSE,0
Jérémie Boga,Left Winger,25,19,Italy,Serie A,US Sassuolo,Italy,Serie A,Atalanta BC,22,FALSE,1
Sofiane Diop,Left Winger,22,20,Monaco,Ligue 1,AS Monaco,France,Ligue 1,OGC Nice,22,FALSE,1
Thilo Kehrer,Centre-Back,25,22,France,Ligue 1,Paris Saint-Germain,England,Premier League,West Ham United,12,FALSE,1
Cengiz Ünder,Right Winger,24,22,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,8.4,FALSE,0
James Tarkowski,Centre-Back,29,22,England,Championship,Burnley FC,England,Premier League,Everton FC,0,FALSE,0
Giovani Lo Celso,Central Midfield,26,22,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Villarreal CF,0,TRUE,1
Julian Weigl,Defensive Midfield,26,22,Portugal,Liga Portugal,SL Benfica,Germany,Bundesliga,Borussia Mönchengladbach,0,TRUE,1
Jan Bednarek,Centre-Back,26,22,England,Premier League,Southampton FC,England,Premier League,Aston Villa,0,TRUE,0
Éderson,Central Midfield,22,13,Italy,Serie A,US Salernitana 1919,Italy,Serie A,Atalanta BC,21,FALSE,1
Maxwel Cornet,Left Winger,25,15,England,Championship,Burnley FC,England,Premier League,West Ham United,20.7,FALSE,1
Taiwo Awoniyi,Centre-Forward,24,20,Germany,Bundesliga,1.FC Union Berlin,England,Premier League,Nottingham Forest,20.5,FALSE,0
Philippe Coutinho,Left Winger,30,20,Spain,LaLiga,FC Barcelona,England,Premier League,Aston Villa,20,FALSE,0
David Carmo,Centre-Back,22,15,Portugal,Liga Portugal,SC Braga,Portugal,Liga Portugal,FC Porto,20,FALSE,1
Neco Williams,Right-Back,21,8,England,Premier League,Liverpool FC,England,Premier League,Nottingham Forest,20,FALSE,0
Mathys Tel,Centre-Forward,17,2,France,Ligue 1,Stade Rennais FC,Germany,Bundesliga,Bayern Munich,20,FALSE,0
Nahuel Molina,Right-Back,24,20,Italy,Serie A,Udinese Calcio,Spain,LaLiga,Atlético de Madrid,20,FALSE,0
Arnaud Kalimuendo,Centre-Forward,20,18,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,Stade Rennais FC,20,FALSE,0
Umar Sadiq,Centre-Forward,25,18,Spain,LaLiga,UD Almería,Spain,LaLiga,Real Sociedad,20,FALSE,1
Pervis Estupiñán,Left-Back,24,20,Spain,LaLiga,Villarreal CF,England,Premier League,Brighton & Hove Albion,17.8,FALSE,0
David Neres,Right Winger,25,20,Ukraine,Premier Liga,Shakhtar Donetsk,Portugal,Liga Portugal,SL Benfica,15.3,FALSE,1
Dodô,Right-Back,23,20,Ukraine,Premier Liga,Shakhtar Donetsk,Italy,Serie A,ACF Fiorentina,14.5,FALSE,1
Adam Hlozek,Left Winger,19,20,Czech Republic,Fortuna Liga,AC Sparta Prague,Germany,Bundesliga,Bayer 04 Leverkusen,13,FALSE,0
Nordi Mukiele,Right-Back,24,20,Germany,Bundesliga,RB Leipzig,France,Ligue 1,Paris Saint-Germain,12,FALSE,1
Remo Freuler,Central Midfield,30,20,Italy,Serie A,Atalanta BC,England,Premier League,Nottingham Forest,9,FALSE,0
Lucas Torreira,Defensive Midfield,26,20,England,Premier League,Arsenal FC,Turkey,Süper Lig,Galatasaray,6,FALSE,1
Francisco Trincão,Right Winger,22,20,Spain,LaLiga,FC Barcelona,Portugal,Liga Portugal,Sporting CP,3,TRUE,1
Antonin Barak,Attacking Midfield,27,20,Italy,Serie A,Hellas Verona,Italy,Serie A,ACF Fiorentina,1.5,TRUE,1
Noussair Mazraoui,Right-Back,24,20,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Bayern Munich,0,FALSE,0
Christian Eriksen,Attacking Midfield,30,20,England,Premier League,Brentford FC,England,Premier League,Manchester United,0,FALSE,1
Andrea Pinamonti,Centre-Forward,23,20,Italy,Serie A,Inter Milan,Italy,Serie A,US Sassuolo,0,TRUE,0
Nico González,Central Midfield,20,20,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Valencia CF,0,TRUE,1
Andrea Belotti,Centre-Forward,28,20,Italy,Serie A,Torino FC,Italy,Serie A,AS Roma,0,FALSE,1
Héctor Bellerín,Right-Back,27,20,England,Premier League,Arsenal FC,Spain,LaLiga,FC Barcelona,0,FALSE,1
Keane Lewis-Potter,Left Winger,21,12,England,Championship,Hull City,England,Premier League,Brentford FC,19,FALSE,1
Arthur Theate,Centre-Back,22,15,Italy,Serie A,Bologna FC 1909,France,Ligue 1,Stade Rennais FC,19,FALSE,0
Hassane Kamara,Left-Back,28,4,England,Championship,Watford FC,Italy,Serie A,Udinese Calcio,19,FALSE,1
Min-jae Kim,Centre-Back,25,14,Turkey,Süper Lig,Fenerbahce,Italy,Serie A,SSC Napoli,18.05,FALSE,0
Carney Chukwuemeka,Central Midfield,18,6,England,Premier League,Aston Villa,England,Premier League,Chelsea FC,18,FALSE,1
Destiny Udogie,Left-Back,19,17,Italy,Serie A,Udinese Calcio,England,Premier League,Tottenham Hotspur,18,FALSE,1
Aaron Hickey,Left-Back,20,18,Italy,Serie A,Bologna FC 1909,England,Premier League,Brentford FC,16.5,FALSE,1
Gaëtan Laborde,Centre-Forward,28,18,France,Ligue 1,Stade Rennais FC,France,Ligue 1,OGC Nice,15,FALSE,1
Brais Méndez,Right Winger,25,18,Spain,LaLiga,Celta de Vigo,Spain,LaLiga,Real Sociedad,14,FALSE,1
Neal Maupay,Centre-Forward,26,18,England,Premier League,Brighton & Hove Albion,England,Premier League,Everton FC,11.8,FALSE,0
Moussa Niakhaté,Centre-Back,26,18,Germany,Bundesliga,1.FSV Mainz 05,England,Premier League,Nottingham Forest,10,FALSE,0
Mattia Zaccagni,Attacking Midfield,27,18,Italy,Serie A,Hellas Verona,Italy,Serie A,SS Lazio,7.1,FALSE,1
Zeki Celik,Right-Back,25,18,France,Ligue 1,LOSC Lille,Italy,Serie A,AS Roma,7,FALSE,1
Arthur Melo,Central Midfield,26,18,Italy,Serie A,Juventus FC,England,Premier League,Liverpool FC,4.5,TRUE,1
Julian Draxler,Left Winger,28,18,France,Ligue 1,Paris Saint-Germain,Portugal,Liga Portugal,SL Benfica,2.5,TRUE,1
Abdou Diallo,Centre-Back,26,18,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,RB Leipzig,1.5,TRUE,1
Matthias Ginter,Centre-Back,28,18,Germany,Bundesliga,Borussia Mönchengladbach,Germany,Bundesliga,SC Freiburg,0,FALSE,1
Jesse Lingard,Attacking Midfield,29,18,England,Premier League,Manchester United,England,Premier League,Nottingham Forest,0,FALSE,0
Dean Henderson,Goalkeeper,25,18,England,Premier League,Manchester United,England,Premier League,Nottingham Forest,0,TRUE,0
Alex Telles,Left-Back,29,18,England,Premier League,Manchester United,Spain,LaLiga,Sevilla FC,0,TRUE,1
Georginio Wijnaldum,Central Midfield,31,18,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,AS Roma,0,TRUE,1
Sergiño Dest,Right-Back,21,18,Spain,LaLiga,FC Barcelona,Italy,Serie A,AC Milan,0,TRUE,1
André Gomes,Central Midfield,29,18,England,Premier League,Everton FC,France,Ligue 1,LOSC Lille,0,TRUE,1
Daniel James,Right Winger,24,18,England,Premier League,Leeds United,England,Premier League,Fulham FC,0,TRUE,1
Issa Diop,Centre-Back,25,10,England,Premier League,West Ham United,England,Premier League,Fulham FC,17.8,FALSE,1
Matt Targett,Left-Back,26,17,England,Premier League,Aston Villa,England,Premier League,Newcastle United,17.5,FALSE,0
Tyler Adams,Defensive Midfield,23,17,Germany,Bundesliga,RB Leipzig,England,Premier League,Leeds United,17,FALSE,0
Rasmus Höjlund,Centre-Forward,19,4.5,Austria,Bundesliga,SK Sturm Graz,Italy,Serie A,Atalanta BC,17,FALSE,1
Wout Faes,Centre-Back,24,10,France,Ligue 1,Stade Reims,England,Premier League,Leicester City,17,FALSE,1
Tyrell Malacia,Left-Back,22,17,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,Manchester United,15,FALSE,1
Marcos Senesi,Centre-Back,25,17,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,AFC Bournemouth,15,FALSE,0
Jordan Veretout,Central Midfield,29,17,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,11,FALSE,0
Giovanni Simeone,Centre-Forward,26,17,Italy,Serie B,Cagliari Calcio,Italy,Serie A,Hellas Verona,10.5,FALSE,1
Destiny Udogie,Left-Back,19,17,Italy,Serie A,Hellas Verona,Italy,Serie A,Udinese Calcio,4,FALSE,1
Giovanni Simeone,Centre-Forward,27,17,Italy,Serie A,Hellas Verona,Italy,Serie A,SSC Napoli,3.5,TRUE,0
Alessio Romagnoli,Centre-Back,27,17,Italy,Serie A,AC Milan,Italy,Serie A,SS Lazio,0,FALSE,1
Chancel Mbemba,Centre-Back,27,17,Portugal,Liga Portugal,FC Porto,France,Ligue 1,Olympique Marseille,0,FALSE,0
Destiny Udogie,Left-Back,19,17,England,Premier League,Tottenham Hotspur,Italy,Serie A,Udinese Calcio,0,TRUE,1
Leandro Paredes,Defensive Midfield,28,17,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,Juventus FC,0,TRUE,0
Kasper Dolberg,Centre-Forward,24,17,France,Ligue 1,OGC Nice,Spain,LaLiga,Sevilla FC,0,TRUE,1
Yusuf Yazici,Attacking Midfield,25,17,France,Ligue 1,LOSC Lille,Turkey,Süper Lig,Trabzonspor,0,TRUE,1
Hee-chan Hwang,Centre-Forward,26,16,Germany,Bundesliga,RB Leipzig,England,Premier League,Wolverhampton Wanderers,16.7,FALSE,0
Brian Brobbey,Centre-Forward,20,9,Germany,Bundesliga,RB Leipzig,Netherlands,Eredivisie,Ajax Amsterdam,16.35,FALSE,0
Tanguy Nianzou,Centre-Back,20,9,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,Sevilla FC,16,FALSE,1
Roman Yaremchuk,Centre-Forward,26,15,Portugal,Liga Portugal,SL Benfica,Belgium,Jupiler Pro League,Club Brugge KV,16,FALSE,0
Duje Caleta-Car,Centre-Back,25,16,France,Ligue 1,Olympique Marseille,England,Premier League,Southampton FC,10,FALSE,0
Jeremiah St. Juste,Centre-Back,25,16,Germany,Bundesliga,1.FSV Mainz 05,Portugal,Liga Portugal,Sporting CP,9.5,FALSE,1
Arkadiusz Milik,Centre-Forward,28,16,Italy,Serie A,SSC Napoli,France,Ligue 1,Olympique Marseille,8,FALSE,0
Arkadiusz Milik,Centre-Forward,28,16,France,Ligue 1,Olympique Marseille,Italy,Serie A,Juventus FC,0.9,TRUE,0
Randal Kolo Muani,Centre-Forward,23,16,France,Ligue 1,FC Nantes,Germany,Bundesliga,Eintracht Frankfurt,0,FALSE,1
Luiz Felipe,Centre-Back,25,16,Italy,Serie A,SS Lazio,Spain,LaLiga,Real Betis Balompié,0,FALSE,0
Matteo Pessina,Attacking Midfield,25,16,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Monza,0,TRUE,0
Luka Jović,Centre-Forward,24,16,Spain,LaLiga,Real Madrid,Italy,Serie A,ACF Fiorentina,0,FALSE,1
Bertrand Traoré,Right Winger,26,16,England,Premier League,Aston Villa,Turkey,Süper Lig,Basaksehir FK,0,TRUE,0
Dele Alli,Attacking Midfield,26,16,England,Premier League,Everton FC,Turkey,Süper Lig,Besiktas JK,0,TRUE,0
Cheick Doucouré,Defensive Midfield,22,15,France,Ligue 1,RC Lens,England,Premier League,Crystal Palace,22.6,FALSE,0
Takumi Minamino,Left Winger,27,12,England,Premier League,Liverpool FC,Monaco,Ligue 1,AS Monaco,15,FALSE,1
Mikkel Damsgaard,Left Winger,22,15,Italy,Serie A,UC Sampdoria,England,Premier League,Brentford FC,15,FALSE,1
Cesare Casadei,Central Midfield,19,1,Italy,Primavera 1,Inter Milan Primavera,England,Premier League 2,Chelsea FC U21,15,FALSE,0
Éverton,Left Winger,26,15,Portugal,Liga Portugal,SL Benfica,Brazil,Série A,Clube de Regatas do Flamengo,13.5,FALSE,0
Rasmus Kristensen,Right-Back,24,15,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Leeds United,13,FALSE,0
Orel Mangala,Central Midfield,24,15,Germany,Bundesliga,VfB Stuttgart,England,Premier League,Nottingham Forest,13,FALSE,0
Breel Embolo,Centre-Forward,25,15,Germany,Bundesliga,Borussia Mönchengladbach,Monaco,Ligue 1,AS Monaco,12.5,FALSE,1
Pierre-Emerick Aubameyang,Centre-Forward,33,15,Spain,LaLiga,FC Barcelona,England,Premier League,Chelsea FC,12,FALSE,1
Nick Pope,Goalkeeper,30,15,England,Championship,Burnley FC,England,Premier League,Newcastle United,11.5,FALSE,0
Mathías Olivera,Left-Back,24,15,Spain,LaLiga,Getafe CF,Italy,Serie A,SSC Napoli,11,FALSE,0
Momo Cho,Centre-Forward,18,15,France,Ligue 1,Angers SCO,Spain,LaLiga,Real Sociedad,11,FALSE,1
Khvicha Kvaratskhelia,Left Winger,21,15,Georgia,Crystalbet Erovnuli Liga,Dinamo Batumi,Italy,Serie A,SSC Napoli,10,FALSE,0
Enzo Fernández,Central Midfield,21,15,Argentina,Liga Profesional,CA River Plate,Portugal,Liga Portugal,SL Benfica,10,FALSE,1
Mattias Svanberg,Central Midfield,23,15,Italy,Serie A,Bologna FC 1909,Germany,Bundesliga,VfL Wolfsburg,9,FALSE,1
Jonathan Clauss,Right-Back,29,15,France,Ligue 1,RC Lens,France,Ligue 1,Olympique Marseille,7.5,FALSE,0
Arthur Theate,Centre-Back,22,15,Belgium,Jupiler Pro League,KV Oostende,Italy,Serie A,Bologna FC 1909,6,FALSE,0
Konstantinos Mavropanos,Centre-Back,24,15,England,Premier League,Arsenal FC,Germany,Bundesliga,VfB Stuttgart,3.2,FALSE,1
Alexandre Lacazette,Centre-Forward,31,15,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Lyon,0,FALSE,0
Corentin Tolisso,Central Midfield,27,15,Germany,Bundesliga,Bayern Munich,France,Ligue 1,Olympique Lyon,0,FALSE,0
Fábio Silva,Centre-Forward,20,15,England,Premier League,Wolverhampton Wanderers,Belgium,Jupiler Pro League,RSC Anderlecht,0,TRUE,0
Nuno Tavares,Left-Back,22,15,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,0,TRUE,0
Harry Winks,Defensive Midfield,26,15,England,Premier League,Tottenham Hotspur,Italy,Serie A,UC Sampdoria,0,TRUE,1
Amad Diallo,Right Winger,20,15,England,Premier League,Manchester United,England,Championship,Sunderland AFC,0,TRUE,0
Justin Kluivert,Left Winger,23,15,Italy,Serie A,AS Roma,Spain,LaLiga,Valencia CF,0,TRUE,1
Emmanuel Dennis,Centre-Forward,24,14,England,Championship,Watford FC,England,Premier League,Nottingham Forest,14.8,FALSE,0
Djed Spence,Right-Back,21,8,England,Championship,Middlesbrough FC,England,Premier League,Tottenham Hotspur,14.7,FALSE,1
Diego Rossi,Left Winger,24,14.5,United States,MLS,Los Angeles FC,Turkey,Süper Lig,Fenerbahce,5.5,FALSE,0
Emerson,Left-Back,28,14,England,Premier League,Chelsea FC,England,Premier League,West Ham United,15.4,FALSE,1
Gavin Bazunu,Goalkeeper,20,5,England,Premier League 2,Manchester City U21,England,Premier League,Southampton FC,14,FALSE,0
Mohamed Bayo,Centre-Forward,24,12,France,Ligue 1,Clermont Foot 63,France,Ligue 1,LOSC Lille,14,FALSE,1
Marcão,Centre-Back,26,14,Turkey,Süper Lig,Galatasaray,Spain,LaLiga,Sevilla FC,12,FALSE,1
Sebastian Szymanski,Attacking Midfield,23,14,Russia,Premier Liga,Dynamo Moscow,Netherlands,Eredivisie,Feyenoord Rotterdam,2,TRUE,0
Walter Benítez,Goalkeeper,29,14,France,Ligue 1,OGC Nice,Netherlands,Eredivisie,PSV Eindhoven,0,FALSE,0
Wout Weghorst,Centre-Forward,29,14,England,Championship,Burnley FC,Turkey,Süper Lig,Besiktas JK,0,TRUE,0
Yangel Herrera,Central Midfield,24,14,England,Premier League,Manchester City,Spain,LaLiga,Girona FC,0,TRUE,0
Kayky,Right Winger,19,14,England,Premier League 2,Manchester City U21,Portugal,Liga Portugal,FC Paços de Ferreira,0,TRUE,0
Lucas Gourna-Douath,Defensive Midfield,18,10,France,Ligue 2,AS Saint-Étienne,Austria,Bundesliga,Red Bull Salzburg,13,FALSE,0
Sékou Mara,Centre-Forward,19,3,France,Ligue 2,FC Girondins Bordeaux,England,Premier League,Southampton FC,13,FALSE,0
Mattia Viti,Centre-Back,20,7,Italy,Serie A,FC Empoli,France,Ligue 1,OGC Nice,13,FALSE,1
Sergio Gómez,Left-Back,21,10,Belgium,Jupiler Pro League,RSC Anderlecht,England,Premier League,Manchester City,13,FALSE,1
