name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan,successful_transfer
Abdulrahman Ghareeb,Left Winger,25,3,Saudi Arabia,Without League,Al-Ahli Saudi FC,Saudi Arabia,Professional League,Al-Nassr Riad,5.25,FALSE,FALSE
Anthony Modeste,Centre-Forward,34,3,Germany,Bundesliga,1. FC Köln,Germany,Bundesliga,Borussia Dortmund,5.1,FALSE,TRUE
Pablo Torre,Attacking Midfield,19,3,Spain,LaLiga2,Racing Santander,Spain,Primera Federación - Gr. II,FC Barcelona Atlètic,5,FALSE,FALSE
Petar Musa,Centre-Forward,24,5,Portugal,Liga Portugal,Boavista FC,Portugal,Liga Portugal,SL Benfica,5,FALSE,TRUE
Ferran Jutglà,Centre-Forward,23,3,Spain,Primera Federación - Gr. II,FC Barcelona Atlètic,Belgium,Jupiler Pro League,Club Brugge KV,5,FALSE,FALSE
Williot Swedberg,Central Midfield,18,5,Sweden,Allsvenskan,Hammarby IF,Spain,LaLiga,Celta de Vigo,5,FALSE,FALSE
Salis Abdul Samed,Defensive Midfield,22,3,France,Ligue 1,Clermont Foot 63,France,Ligue 1,RC Lens,5,FALSE,TRUE
Aboubakar Kamara,Centre-Forward,27,3.5,Greece,Super League 1,Aris Thessaloniki,Greece,Super League 1,Olympiacos Piraeus,5,FALSE,FALSE
Pietro Pellegri,Centre-Forward,21,4.5,Monaco,Ligue 1,AS Monaco,Italy,Serie A,Torino FC,5,FALSE,FALSE
Ko Itakura,Centre-Back,25,5,England,Premier League,Manchester City,Germany,Bundesliga,Borussia Mönchengladbach,5,FALSE,TRUE
Brice Samba,Goalkeeper,28,2.5,England,Premier League,Nottingham Forest,France,Ligue 1,RC Lens,5,FALSE,TRUE
Domagoj Bradaric,Left-Back,22,3.5,France,Ligue 1,LOSC Lille,Italy,Serie A,US Salernitana 1919,5,FALSE,TRUE
Thomas Henry,Centre-Forward,27,5,Italy,Serie B,Venezia FC,Italy,Serie A,Hellas Verona,5,FALSE,TRUE
Rares Ilie,Left Winger,19,1.3,Romania,SuperLiga,FC Rapid 1923,France,Ligue 1,OGC Nice,5,FALSE,TRUE
Adam Masina,Left-Back,28,3,England,Championship,Watford FC,Italy,Serie A,Udinese Calcio,5,FALSE,TRUE
Leo Östigard,Centre-Back,22,5,England,Premier League,Brighton & Hove Albion,Italy,Serie A,SSC Napoli,5,FALSE,FALSE
Luis Milla,Central Midfield,27,5,Spain,LaLiga2,Granada CF,Spain,LaLiga,Getafe CF,5,FALSE,FALSE
Federico Bonazzoli,Centre-Forward,25,5,Italy,Serie A,UC Sampdoria,Italy,Serie A,US Salernitana 1919,5,FALSE,TRUE
Jurgen Ekkelenkamp,Central Midfield,22,3.5,Germany,Bundesliga,Hertha BSC,Belgium,Jupiler Pro League,Royal Antwerp FC,5,FALSE,FALSE
Tabata,Right Winger,25,4,Portugal,Liga Portugal,Sporting CP,Brazil,Série A,Sociedade Esportiva Palmeiras,5,FALSE,FALSE
Jorge Sánchez,Right-Back,24,5,Mexico,Liga MX Apertura,CF América,Netherlands,Eredivisie,Ajax Amsterdam,5,FALSE,FALSE
Igor Paixão,Left Winger,22,0.8,Brazil,Série A,Coritiba Foot Ball Club,Netherlands,Eredivisie,Feyenoord Rotterdam,5,FALSE,FALSE
Calvin Ramsay,Right-Back,18,5,Scotland,Premiership,Aberdeen FC,England,Premier League,Liverpool FC,4.9,FALSE,TRUE
Ignatius Ganago,Centre-Forward,23,5,France,Ligue 1,RC Lens,France,Ligue 1,FC Nantes,4.4,FALSE,TRUE
Petar Musa,Centre-Forward,24,5,Czech Republic,Fortuna Liga,SK Slavia Prague,Portugal,Liga Portugal,Boavista FC,4.25,FALSE,FALSE
Johann Lepenant,Defensive Midfield,19,5,France,Ligue 2,SM Caen,France,Ligue 1,Olympique Lyon,4.25,FALSE,FALSE
Ezequiel Ponce,Centre-Forward,25,5,Russia,Premier Liga,Spartak Moscow,Spain,LaLiga,Elche CF,4,FALSE,FALSE
Andrea Carboni,Centre-Back,21,5,Italy,Serie B,Cagliari Calcio,Italy,Serie A,AC Monza,4,FALSE,FALSE
Jean Onana,Defensive Midfield,22,5,France,Ligue 2,FC Girondins Bordeaux,France,Ligue 1,RC Lens,4,FALSE,TRUE
Maxim Leitsch,Centre-Back,24,5,Germany,Bundesliga,VfL Bochum,Germany,Bundesliga,1.FSV Mainz 05,3.5,FALSE,FALSE
Stephen Eustaquio,Defensive Midfield,25,5,Portugal,Liga Portugal,FC Paços de Ferreira,Portugal,Liga Portugal,FC Porto,3.5,FALSE,TRUE
Lincoln,Attacking Midfield,23,5,Portugal,Liga Portugal,CD Santa Clara,Turkey,Süper Lig,Fenerbahce,3.5,FALSE,FALSE
Jordan Torunarigha,Centre-Back,24,5,Germany,Bundesliga,Hertha BSC,Belgium,Jupiler Pro League,KAA Gent,3.5,FALSE,FALSE
Rúben Semedo,Centre-Back,28,5,Greece,Super League 1,Olympiacos Piraeus,Qatar,Stars League,Al-Duhail SC,3.5,FALSE,FALSE
Jackson Muleka,Centre-Forward,22,5,Belgium,Jupiler Pro League,Standard Liège,Turkey,Süper Lig,Besiktas JK,3.35,FALSE,FALSE
Mario Vuskovic,Centre-Back,20,5,Croatia,SuperSport HNL,HNK Hajduk Split,Germany,2. Bundesliga,Hamburger SV,3,FALSE,TRUE
Pablo Maffeo,Right-Back,24,5,Germany,Bundesliga,VfB Stuttgart,Spain,LaLiga,RCD Mallorca,3,FALSE,FALSE
Josh Cullen,Central Midfield,26,5,Belgium,Jupiler Pro League,RSC Anderlecht,England,Championship,Burnley FC,3,FALSE,FALSE
Simon Banza,Centre-Forward,25,5,France,Ligue 1,RC Lens,Portugal,Liga Portugal,SC Braga,3,FALSE,TRUE
Roger Martí,Centre-Forward,31,5,Spain,LaLiga2,Levante UD,Spain,LaLiga,Elche CF,3,FALSE,FALSE
Iké Ugbo,Centre-Forward,23,5,Belgium,Jupiler Pro League,KRC Genk,France,Ligue 1,ESTAC Troyes,3,FALSE,FALSE
Abdülkerim Bardakci,Centre-Back,27,5,Turkey,Süper Lig,Konyaspor,Turkey,Süper Lig,Galatasaray,2.8,FALSE,TRUE
Julián Quiñones,Centre-Forward,25,5,Mexico,Liga MX Apertura,Tigres UANL,Mexico,Liga MX Apertura,Atlas Guadalajara,2.6,FALSE,FALSE
Tonny Vilhena,Central Midfield,27,5,Russia,Premier Liga,FK Krasnodar,Spain,LaLiga,RCD Espanyol Barcelona,2.5,FALSE,FALSE
Pierre Lees-Melou,Central Midfield,29,5,England,Championship,Norwich City,France,Ligue 1,Stade Brestois 29,2.3,FALSE,FALSE
Jimmy Cabot,Right Midfield,28,5,France,Ligue 1,Angers SCO,France,Ligue 1,RC Lens,2,FALSE,TRUE
Umut Bozok,Centre-Forward,25,5,France,Ligue 1,FC Lorient,Turkey,Süper Lig,Trabzonspor,2,FALSE,TRUE
Lucas Perrin,Centre-Back,23,5,France,Ligue 1,Olympique Marseille,France,Ligue 1,RC Strasbourg Alsace,1.5,FALSE,FALSE
Dominik Kohr,Central Midfield,28,5,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,1.FSV Mainz 05,1.5,FALSE,FALSE
Jan Kuchta,Centre-Forward,25,5,Russia,Premier Liga,Lokomotiv Moscow,Czech Republic,Fortuna Liga,AC Sparta Prague,1,TRUE,FALSE
Henry Onyekuru,Left Winger,25,5,Greece,Super League 1,Olympiacos Piraeus,Turkey,Süper Lig,Adana Demirspor,1,TRUE,FALSE
Mark-Anthony Kaye,Central Midfield,27,5,United States,MLS,Colorado Rapids,Canada,MLS,Toronto FC,0.955,FALSE,FALSE
Jack Hendry,Centre-Back,27,5,Belgium,Jupiler Pro League,Club Brugge KV,Italy,Serie A,US Cremonese,0.6,TRUE,FALSE
Ludwig Augustinsson,Left-Back,28,5,Spain,LaLiga,Sevilla FC,England,Premier League,Aston Villa,0.5,TRUE,FALSE
Mathew Ryan,Goalkeeper,30,5,Spain,LaLiga,Real Sociedad,Denmark,Superligaen,FC Copenhagen,0.5,FALSE,FALSE
Tonny Vilhena,Central Midfield,27,5,Spain,LaLiga,RCD Espanyol Barcelona,Italy,Serie A,US Salernitana 1919,0.3,TRUE,TRUE
Héctor Herrera,Central Midfield,32,5,Spain,LaLiga,Atlético de Madrid,United States,MLS,Houston Dynamo FC,0,FALSE,FALSE
Amos Pieper,Centre-Back,24,5,Germany,2. Bundesliga,Arminia Bielefeld,Germany,Bundesliga,SV Werder Bremen,0,FALSE,FALSE
Anthony Nwakaeme,Left Winger,33,5,Turkey,Süper Lig,Trabzonspor,Saudi Arabia,Professional League,Al-Fayha FC,0,FALSE,FALSE
Joselu,Centre-Forward,32,5,Spain,LaLiga2,Deportivo Alavés,Spain,LaLiga,RCD Espanyol Barcelona,0,FALSE,FALSE
Zelimkhan Bakaev,Right Winger,26,5,Russia,Premier Liga,Spartak Moscow,Russia,Premier Liga,Zenit St. Petersburg,0,FALSE,FALSE
Nemanja Matić,Defensive Midfield,33,5,England,Premier League,Manchester United,Italy,Serie A,AS Roma,0,FALSE,TRUE
Yacine Brahimi,Left Winger,32,5,Qatar,Stars League,Al-Rayyan SC,Qatar,Stars League,Al-Gharafa SC,0,FALSE,FALSE
Sime Vrsaljko,Right-Back,30,5,Spain,LaLiga,Atlético de Madrid,Greece,Super League 1,Olympiacos Piraeus,0,FALSE,FALSE
David Ospina,Goalkeeper,33,5,Italy,Serie A,SSC Napoli,Saudi Arabia,Professional League,Al-Nassr Riad,0,FALSE,FALSE
Sebastiano Esposito,Centre-Forward,20,5,Italy,Serie A,Inter Milan,Belgium,Jupiler Pro League,RSC Anderlecht,0,TRUE,FALSE
Jean Michaël Seri,Central Midfield,30,5,England,Premier League,Fulham FC,England,Championship,Hull City,0,FALSE,TRUE
Tom Lawrence,Left Winger,28,5,England,League One,Derby County,Scotland,Premiership,Rangers FC,0,FALSE,FALSE
Jeff Hendrick,Central Midfield,30,5,England,Premier League,Newcastle United,England,Championship,Reading FC,0,TRUE,TRUE
Carlos Salcedo,Centre-Back,28,5,Canada,MLS,Toronto FC,Mexico,Liga MX Apertura,FC Juárez,0,FALSE,FALSE
Benjamin Lecomte,Goalkeeper,31,5,Monaco,Ligue 1,AS Monaco,Spain,LaLiga,RCD Espanyol Barcelona,0,TRUE,FALSE
Andrea Cambiaso,Left-Back,22,5,Italy,Serie A,Juventus FC,Italy,Serie A,Bologna FC 1909,0,TRUE,FALSE
Ian Maatsen,Left-Back,20,5,England,Premier League 2,Chelsea FC U21,England,Championship,Burnley FC,0,TRUE,FALSE
Aaron Mooy,Central Midfield,31,5,China,Super League,Shanghai Port,Scotland,Premiership,Celtic FC,0,FALSE,FALSE
Ronaël Pierre-Gabriel,Right-Back,24,5,Germany,Bundesliga,1.FSV Mainz 05,France,Ligue 1,RC Strasbourg Alsace,0,TRUE,FALSE
Yan Couto,Right-Back,20,5,England,Premier League,Manchester City,Spain,LaLiga,Girona FC,0,TRUE,FALSE
Rúben Vinagre,Left-Back,23,5,Portugal,Liga Portugal,Sporting CP,England,Premier League,Everton FC,0,TRUE,FALSE
Ricardo Goulart,Attacking Midfield,31,5,Brazil,Série A,Santos FC,Brazil,Série B,Esporte Clube Bahia,0,FALSE,FALSE
Riechedly Bazoer,Central Midfield,25,5,Netherlands,Eredivisie,Vitesse Arnhem,Netherlands,Eredivisie,AZ Alkmaar,0,FALSE,FALSE
Arthur Masuaku,Left-Back,28,5,England,Premier League,West Ham United,Turkey,Süper Lig,Besiktas JK,0,TRUE,FALSE
Shane Duffy,Centre-Back,30,5,England,Premier League,Brighton & Hove Albion,England,Premier League,Fulham FC,0,TRUE,TRUE
Levi Colwill,Centre-Back,19,5,England,Premier League 2,Chelsea FC U21,England,Premier League,Brighton & Hove Albion,0,TRUE,FALSE
Gonzalo Villar,Central Midfield,24,5,Italy,Serie A,AS Roma,Italy,Serie A,UC Sampdoria,0,TRUE,TRUE
Fernando Pacheco,Goalkeeper,30,5,Spain,LaLiga2,Deportivo Alavés,Spain,LaLiga,UD Almería,0,FALSE,FALSE
Pablo Marí,Centre-Back,28,5,England,Premier League,Arsenal FC,Italy,Serie A,AC Monza,0,TRUE,FALSE
Gabriel Pires,Central Midfield,28,5,Portugal,Liga Portugal,SL Benfica,Brazil,Série A,Botafogo de Futebol e Regatas,0,TRUE,FALSE
Antonio Blanco,Defensive Midfield,22,5,Spain,LaLiga,Real Madrid,Spain,LaLiga,Cádiz CF,0,TRUE,FALSE
Junior Dina Ebimbe,Central Midfield,21,5,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,Eintracht Frankfurt,0,TRUE,TRUE
Rodrigo Muniz,Centre-Forward,21,5,England,Premier League,Fulham FC,England,Championship,Middlesbrough FC,0,TRUE,TRUE
Giuseppe Pezzella,Left-Back,24,5,Italy,Serie B,Parma Calcio 1913,Italy,Serie A,US Lecce,0,TRUE,FALSE
Cristian Tello,Left Winger,31,5,Spain,LaLiga,Real Betis Balompié,United States,MLS,Los Angeles FC,0,FALSE,FALSE
Sepp van den Berg,Centre-Back,20,5,England,Premier League,Liverpool FC,Germany,Bundesliga,FC Schalke 04,0,TRUE,FALSE
Rémi Oudin,Right Winger,25,5,France,Ligue 2,FC Girondins Bordeaux,Italy,Serie A,US Lecce,0,TRUE,FALSE
Oriol Romeu,Defensive Midfield,30,5,England,Premier League,Southampton FC,Spain,LaLiga,Girona FC,0,FALSE,FALSE
Simone Verdi,Attacking Midfield,30,5,Italy,Serie A,Torino FC,Italy,Serie A,Hellas Verona,0,TRUE,TRUE
Layvin Kurzawa,Left-Back,29,5,France,Ligue 1,Paris Saint-Germain,England,Premier League,Fulham FC,0,TRUE,TRUE
Sebastian Walukiewicz,Centre-Back,22,5,Italy,Serie B,Cagliari Calcio,Italy,Serie A,FC Empoli,0,TRUE,FALSE
Soualiho Meïté,Central Midfield,28,5,Portugal,Liga Portugal,SL Benfica,Italy,Serie A,US Cremonese,0,TRUE,FALSE
Marcos Paulo,Left Winger,21,5,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga2,CD Mirandés,0,TRUE,FALSE
Mads Bech Sörensen,Centre-Back,23,5,England,Premier League,Brentford FC,France,Ligue 1,OGC Nice,0,TRUE,TRUE
Dia Saba,Attacking Midfield,29,4.8,United Arab Emirates,UAE Pro League,Al-Nasr SC (UAE),Turkey,Süper Lig,Sivasspor,0,FALSE,FALSE
Rodrigo Aguirre,Centre-Forward,27,2,Ecuador,Serie A Segunda Etapa,LDU Quito,Mexico,Liga MX Apertura,CF Monterrey,4.75,FALSE,FALSE
Berat Özdemir,Defensive Midfield,24,4.7,Turkey,Süper Lig,Trabzonspor,Saudi Arabia,Professional League,Ettifaq FC,2.44,FALSE,FALSE
Daniel-Kofi Kyereh,Attacking Midfield,26,3,Germany,2. Bundesliga,FC St. Pauli,Germany,Bundesliga,SC Freiburg,4.5,FALSE,TRUE
Mateo Cassierra,Centre-Forward,25,4.5,Russia,Premier Liga,FC Sochi,Russia,Premier Liga,Zenit St. Petersburg,4.5,FALSE,FALSE
Denis Vavro,Centre-Back,26,3,Italy,Serie A,SS Lazio,Denmark,Superligaen,FC Copenhagen,4.5,FALSE,FALSE
Allahyar Sayyadmanesh,Centre-Forward,21,2.5,Turkey,Süper Lig,Fenerbahce,England,Championship,Hull City,4.5,FALSE,TRUE
Emirhan Ilkhan,Central Midfield,18,3,Turkey,Süper Lig,Besiktas JK,Italy,Serie A,Torino FC,4.5,FALSE,FALSE
Edu Expósito,Central Midfield,26,4,Spain,LaLiga2,SD Eibar,Spain,LaLiga,RCD Espanyol Barcelona,4.5,FALSE,FALSE
Sotiris Alexandropoulos,Central Midfield,20,3,Greece,Super League 1,Panathinaikos Athens,Portugal,Liga Portugal,Sporting CP,4.5,FALSE,TRUE
Patrick Berg,Defensive Midfield,24,4.5,France,Ligue 1,RC Lens,Norway,Eliteserien,FK Bodø/Glimt,4.5,FALSE,FALSE
Gastón Ávila,Centre-Back,20,4.5,Argentina,Liga Profesional,CA Boca Juniors,Belgium,Jupiler Pro League,Royal Antwerp FC,4.4,FALSE,FALSE
Jamie Leweling,Second Striker,21,4.5,Germany,2. Bundesliga,SpVgg Greuther Fürth,Germany,Bundesliga,1.FC Union Berlin,4,FALSE,FALSE
Andraz Sporar,Centre-Forward,28,4.5,Portugal,Liga Portugal,Sporting CP,Greece,Super League 1,Panathinaikos Athens,3.5,FALSE,FALSE
Luca Kilian,Centre-Back,22,4.5,Germany,Bundesliga,1.FSV Mainz 05,Germany,Bundesliga,1. FC Köln,2,FALSE,TRUE
Moussa Sissoko,Central Midfield,32,4.5,England,Championship,Watford FC,France,Ligue 1,FC Nantes,2,FALSE,TRUE
Ezequiel Bullaude,Attacking Midfield,21,4.5,Argentina,Liga Profesional,CD Godoy Cruz Antonio Tomba,Netherlands,Eredivisie,Feyenoord Rotterdam,2,FALSE,FALSE
Lorenzo Montipò,Goalkeeper,26,4.5,Italy,Serie B,Benevento Calcio,Italy,Serie A,Hellas Verona,1,FALSE,TRUE
Tiquinho Soares,Centre-Forward,31,4.5,Greece,Super League 1,Olympiacos Piraeus,Brazil,Série A,Botafogo de Futebol e Regatas,1,FALSE,FALSE
Christopher Jullien,Centre-Back,29,4.5,Scotland,Premiership,Celtic FC,France,Ligue 1,Montpellier HSC,1,FALSE,TRUE
Hiroki Ito,Centre-Back,23,4.5,Japan,J1 League,Júbilo Iwata,Germany,Bundesliga,VfB Stuttgart,0.4,FALSE,TRUE
Germán Berterame,Centre-Forward,23,4.5,Mexico,Liga MX Apertura,Atlético de San Luis,Mexico,Liga MX Apertura,CF Monterrey,0,FALSE,FALSE
Gabriel Pirani,Attacking Midfield,20,4.5,Brazil,Série A,Santos FC,Brazil,Série A,Cuiabá Esporte Clube (MT),0,TRUE,FALSE
Oliver Burke,Centre-Forward,25,4.5,England,Championship,Sheffield United,Germany,Bundesliga,SV Werder Bremen,0,FALSE,FALSE
Michael Gregoritsch,Centre-Forward,28,4.5,Germany,Bundesliga,FC Augsburg,Germany,Bundesliga,SC Freiburg,0,FALSE,TRUE
Vinicius Souza,Defensive Midfield,23,4.5,Belgium,Challenger Pro League,Lommel SK,Spain,LaLiga,RCD Espanyol Barcelona,0,TRUE,FALSE
Junior Sambia,Right-Back,25,4.5,France,Ligue 1,Montpellier HSC,Italy,Serie A,US Salernitana 1919,0,FALSE,TRUE
David Okereke,Centre-Forward,24,4.5,Belgium,Jupiler Pro League,Club Brugge KV,Italy,Serie A,US Cremonese,0,FALSE,FALSE
Benjamin Verbic,Left Winger,28,4.5,Ukraine,Premier Liga,Dynamo Kyiv,Greece,Super League 1,Panathinaikos Athens,0,FALSE,FALSE
Omar Khribin,Centre-Forward,28,4.5,United Arab Emirates,UAE Pro League,Al-Wahda FC Abu Dhabi,United Arab Emirates,UAE Pro League,FC Shabab Al-Ahli Dubai,0,TRUE,FALSE
Wylan Cyprien,Central Midfield,27,4.5,Italy,Serie B,Parma Calcio 1913,Switzerland,Super League,FC Sion,0,TRUE,FALSE
Bernard,Left Winger,29,4.5,United Arab Emirates,UAE Pro League,Sharjah Cultural Sports Club,Greece,Super League 1,Panathinaikos Athens,0,FALSE,FALSE
Agustín Rogel,Centre-Back,24,4.5,Argentina,Liga Profesional,Club Estudiantes de La Plata,Germany,Bundesliga,Hertha BSC,0,FALSE,TRUE
Ilan Kebbal,Attacking Midfield,24,4.5,France,Ligue 1,Stade Reims,France,Ligue 2,Paris FC,0,TRUE,FALSE
Dimitrios Pelkas,Attacking Midfield,28,4.5,Turkey,Süper Lig,Fenerbahce,England,Championship,Hull City,0,TRUE,TRUE
Jordan Beyer,Centre-Back,22,4.5,Germany,Bundesliga,Borussia Mönchengladbach,England,Championship,Burnley FC,0,TRUE,FALSE
Alexandro Bernabéi,Left-Back,21,3.3,Argentina,Liga Profesional,Club Atlético Lanús,Scotland,Premiership,Celtic FC,4.35,FALSE,FALSE
Gustavo del Prete,Centre-Forward,26,3.8,Argentina,Liga Profesional,Club Estudiantes de La Plata,Mexico,Liga MX Apertura,UNAM Pumas,4.3,FALSE,FALSE
Can Bozdogan,Central Midfield,21,4.3,Germany,Bundesliga,FC Schalke 04,Netherlands,Eredivisie,FC Utrecht,0.5,TRUE,FALSE
Pablo Solari,Right Winger,21,1.8,Chile,Primera División,CSD Colo Colo,Argentina,Liga Profesional,CA River Plate,4.2,FALSE,FALSE
Nicolás Marichal,Centre-Back,21,1,Uruguay,Primera División,Club Nacional,Russia,Premier Liga,Dynamo Moscow,4.2,FALSE,FALSE
Stefano Denswil,Centre-Back,29,4.2,Italy,Serie A,Bologna FC 1909,Turkey,Süper Lig,Trabzonspor,0,FALSE,TRUE
Jens Odgaard,Centre-Forward,23,2,Italy,Serie A,US Sassuolo,Netherlands,Eredivisie,AZ Alkmaar,4.1,FALSE,FALSE
Veljko Birmancevic,Left Winger,24,3.5,Sweden,Allsvenskan,Malmö FF,France,Ligue 1,FC Toulouse,4.1,FALSE,FALSE
Brian Rodríguez,Left Winger,22,4,United States,MLS,Los Angeles FC,Mexico,Liga MX Apertura,CF América,5.97,FALSE,FALSE
Filippo Melegoni,Central Midfield,23,2,Italy,Serie A,Atalanta BC,Italy,Serie B,Genoa CFC,4,FALSE,TRUE
Michel Aebischer,Central Midfield,25,3.5,Switzerland,Super League,BSC Young Boys,Italy,Serie A,Bologna FC 1909,4,FALSE,FALSE
Michele Di Gregorio,Goalkeeper,24,3.8,Italy,Serie A,Inter Milan,Italy,Serie A,AC Monza,4,FALSE,FALSE
Hugo Cuypers,Centre-Forward,25,3,Belgium,Jupiler Pro League,KV Mechelen,Belgium,Jupiler Pro League,KAA Gent,4,FALSE,FALSE
Bosko Sutalo,Centre-Back,22,3,Italy,Serie A,Atalanta BC,Croatia,SuperSport HNL,GNK Dinamo Zagreb,4,FALSE,FALSE
Jens Stage,Central Midfield,25,3.5,Denmark,Superligaen,FC Copenhagen,Germany,Bundesliga,SV Werder Bremen,4,FALSE,FALSE
Jaka Bijol,Centre-Back,23,3.5,Russia,Premier Liga,CSKA Moscow,Italy,Serie A,Udinese Calcio,4,FALSE,TRUE
Dogukan Sinik,Left Winger,23,4,Turkey,Süper Lig,Antalyaspor,England,Championship,Hull City,4,FALSE,TRUE
Enzo Ebosse,Left-Back,23,2,France,Ligue 1,Angers SCO,Italy,Serie A,Udinese Calcio,4,FALSE,TRUE
Santiago Giménez,Centre-Forward,21,4,Mexico,Liga MX Apertura,CD Cruz Azul,Netherlands,Eredivisie,Feyenoord Rotterdam,4,FALSE,FALSE
Benson Manuel Hedilazio,Right Winger,25,3,Belgium,Jupiler Pro League,Royal Antwerp FC,England,Championship,Burnley FC,4,FALSE,FALSE
André Franco,Attacking Midfield,24,3.5,Portugal,Liga Portugal,GD Estoril Praia,Portugal,Liga Portugal,FC Porto,4,FALSE,TRUE
Alan Virginius,Left Winger,19,2,France,Ligue 2,FC Sochaux-Montbéliard,France,Ligue 1,LOSC Lille,4,FALSE,TRUE
Juan Cabal,Centre-Back,21,0.8,Colombia,Liga DIMAYOR II,Atlético Nacional,Italy,Serie A,Hellas Verona,4,FALSE,TRUE
Anass Zaroury,Left Winger,21,1.2,Belgium,Jupiler Pro League,RSC Charleroi,England,Championship,Burnley FC,4,FALSE,FALSE
Nicolás Fernández Mercau,Left-Back,22,2.5,Argentina,Liga Profesional,CA San Lorenzo de Almagro,Spain,LaLiga,Elche CF,4,FALSE,FALSE
Arthur Gomes,Left Winger,24,1.5,Portugal,Liga Portugal,GD Estoril Praia,Portugal,Liga Portugal,Sporting CP,4,FALSE,TRUE
Hidemasa Morita,Defensive Midfield,27,4,Portugal,Liga Portugal,CD Santa Clara,Portugal,Liga Portugal,Sporting CP,3.8,FALSE,TRUE
Martin Hongla,Defensive Midfield,24,4,Belgium,Jupiler Pro League,Royal Antwerp FC,Italy,Serie A,Hellas Verona,3.7,FALSE,TRUE
Marcus Forss,Centre-Forward,23,4,England,Premier League,Brentford FC,England,Championship,Middlesbrough FC,3.6,FALSE,TRUE
Carlos González,Centre-Forward,29,4,Mexico,Liga MX Apertura,Tigres UANL,Mexico,Liga MX Apertura,Deportivo Toluca,3.3,FALSE,FALSE
Emil Bohinen,Central Midfield,23,4,Russia,Premier Liga,CSKA Moscow,Italy,Serie A,US Salernitana 1919,3.25,FALSE,TRUE
Alejandro Pozo,Right-Back,23,4,Spain,LaLiga,Sevilla FC,Spain,LaLiga,UD Almería,3,FALSE,FALSE
Néstor Araújo,Centre-Back,30,4,Spain,LaLiga,Celta de Vigo,Mexico,Liga MX Apertura,CF América,3,FALSE,FALSE
Luuk de Jong,Centre-Forward,31,4,Spain,LaLiga,Sevilla FC,Netherlands,Eredivisie,PSV Eindhoven,3,FALSE,FALSE
Rabbi Matondo,Right Winger,21,4,Germany,Bundesliga,FC Schalke 04,Scotland,Premiership,Rangers FC,3,FALSE,FALSE
Jonathan Calleri,Centre-Forward,28,4,Uruguay,Primera División,Club Deportivo Maldonado,Brazil,Série A,São Paulo Futebol Clube,2.9,FALSE,FALSE
Martin Dúbravka,Goalkeeper,33,4,England,Premier League,Newcastle United,England,Premier League,Manchester United,2.31,TRUE,TRUE
Gonzalo Melero,Central Midfield,28,4,Spain,LaLiga2,Levante UD,Spain,LaLiga,UD Almería,1.9,FALSE,FALSE
Alan Mozo,Right-Back,25,4,Mexico,Liga MX Apertura,UNAM Pumas,Mexico,Liga MX Apertura,Deportivo Guadalajara,1.8,FALSE,FALSE
Elvis Rexhbecaj,Central Midfield,24,4,Germany,Bundesliga,VfL Wolfsburg,Germany,Bundesliga,FC Augsburg,1.7,FALSE,TRUE
Michal Sadilek,Defensive Midfield,23,4,Netherlands,Eredivisie,PSV Eindhoven,Netherlands,Eredivisie,Twente Enschede FC,1.5,FALSE,FALSE
Agustín Marchesín,Goalkeeper,34,4,Portugal,Liga Portugal,FC Porto,Spain,LaLiga,Celta de Vigo,1,FALSE,FALSE
Kasper Schmeichel,Goalkeeper,35,4,England,Premier League,Leicester City,France,Ligue 1,OGC Nice,1,FALSE,TRUE
Zaydou Youssouf,Central Midfield,23,4,France,Ligue 2,AS Saint-Étienne,Portugal,Liga Portugal,FC Famalicão,1,FALSE,FALSE
Dylan Bronn,Centre-Back,27,4,France,Ligue 2,FC Metz,Italy,Serie A,US Salernitana 1919,1,FALSE,TRUE
Braian Romero,Centre-Forward,31,4,Argentina,Liga Profesional,CA River Plate,Brazil,Série A,Sport Club Internacional,0.9,FALSE,FALSE
Tom Krauß,Central Midfield,21,4,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,FC Schalke 04,0.5,TRUE,FALSE
Johan Vásquez,Centre-Back,23,4,Italy,Serie B,Genoa CFC,Italy,Serie A,US Cremonese,0.5,TRUE,FALSE
Falaye Sacko,Right-Back,27,4,Portugal,Liga Portugal,Vitória Guimarães SC,France,Ligue 1,Montpellier HSC,0.5,TRUE,TRUE
Otabek Shukurov,Central Midfield,26,4,United Arab Emirates,UAE Pro League,Sharjah Cultural Sports Club,Turkey,Süper Lig,Fatih Karagümrük,0.42,FALSE,FALSE
Álvaro Fernández,Goalkeeper,24,4,Spain,LaLiga2,SD Huesca,Spain,LaLiga,RCD Espanyol Barcelona,0.4,TRUE,FALSE
Renato Kayzer,Centre-Forward,26,4,Brazil,Série A,Fortaleza Esporte Clube,"Korea, South",K League 2,Daejeon Hana Citizen,0.2,TRUE,FALSE
Bartosz Bialek,Centre-Forward,20,4,Germany,Bundesliga,VfL Wolfsburg,Netherlands,Eredivisie,Vitesse Arnhem,0.2,TRUE,FALSE
Unai López,Central Midfield,26,4,Spain,LaLiga,Athletic Bilbao,Spain,LaLiga,Rayo Vallecano,0,FALSE,FALSE
